ticker,company_name,primary_term_to_try,fallback_term_2,fallback_term_3,fallback_term_4,all_terms_list
AAPL,Apple,Apple stock,Apple earnings,Apple earnings date,AAPL stock,Apple stock | Apple earnings | Apple earnings date | AAPL stock | AAPL earnings | AAPL earnings date
AMZN,Amazon,Amazon stock,Amazon earnings,Amazon earnings date,AMZN stock,Amazon stock | Amazon earnings | Amazon earnings date | AMZN stock | AMZN earnings | AMZN earnings date
AVGO,Broadcom,Broadcom stock,Broadcom earnings,Broadcom earnings date,AVGO stock,Broadcom stock | Broadcom earnings | Broadcom earnings date | AVGO stock | AVGO earnings | AVGO earnings date
BAC,Bank of America,Bank of America stock,Bank of America earnings,Bank of America earnings date,BAC stock,Bank of America stock | Bank of America earnings | Bank of America earnings date | BAC stock | BAC earnings | BAC earnings date
COST,Costco,Costco stock,Costco earnings,Costco earnings date,COST stock,Costco stock | Costco earnings | Costco earnings date | COST stock | COST earnings | COST earnings date
GOOGL,Google,Google stock,Google earnings,Google earnings date,GOOGL stock,Google stock | Google earnings | Google earnings date | GOOGL stock | GOOGL earnings | GOOGL earnings date
HD,Home Depot,Home Depot stock,Home Depot earnings,Home Depot earnings date,HD stock,Home Depot stock | Home Depot earnings | Home Depot earnings date | HD stock | HD earnings | HD earnings date
JPM,JPMorgan,JPMorgan stock,JPMorgan earnings,JPMorgan earnings date,JPM stock,JPMorgan stock | JPMorgan earnings | JPMorgan earnings date | JPM stock | JPM earnings | JPM earnings date
MA,Mastercard,Mastercard stock,Mastercard earnings,Mastercard earnings date,MA stock,Mastercard stock | Mastercard earnings | Mastercard earnings date | MA stock | MA earnings | MA earnings date
META,Meta,Meta stock,Meta earnings,Meta earnings date,META stock,Meta stock | Meta earnings | Meta earnings date | META stock | META earnings | META earnings date
MSFT,Microsoft,Microsoft stock,Microsoft earnings,Microsoft earnings date,MSFT stock,Microsoft stock | Microsoft earnings | Microsoft earnings date | MSFT stock | MSFT earnings | MSFT earnings date
NVDA,Nvidia,Nvidia stock,Nvidia earnings,Nvidia earnings date,NVDA stock,Nvidia stock | Nvidia earnings | Nvidia earnings date | NVDA stock | NVDA earnings | NVDA earnings date
