Category: All categories

Week,AVGO: (Worldwide)
2020-12-20,5
2020-12-27,5
2021-01-03,5
2021-01-10,5
2021-01-17,5
2021-01-24,5
2021-01-31,5
2021-02-07,5
2021-02-14,5
2021-02-21,5
2021-02-28,7
2021-03-07,6
2021-03-14,7
2021-03-21,4
2021-03-28,5
2021-04-04,5
2021-04-11,4
2021-04-18,5
2021-04-25,4
2021-05-02,4
2021-05-09,4
2021-05-16,4
2021-05-23,4
2021-05-30,5
2021-06-06,4
2021-06-13,4
2021-06-20,4
2021-06-27,4
2021-07-04,3
2021-07-11,5
2021-07-18,5
2021-07-25,4
2021-08-01,4
2021-08-08,3
2021-08-15,3
2021-08-22,3
2021-08-29,6
2021-09-05,4
2021-09-12,4
2021-09-19,4
2021-09-26,3
2021-10-03,4
2021-10-10,4
2021-10-17,4
2021-10-24,4
2021-10-31,4
2021-11-07,5
2021-11-14,4
2021-11-21,3
2021-11-28,4
2021-12-05,9
2021-12-12,7
2021-12-19,6
2021-12-26,6
2022-01-02,5
2022-01-09,4
2022-01-16,4
2022-01-23,6
2022-01-30,5
2022-02-06,5
2022-02-13,5
2022-02-20,4
2022-02-27,7
2022-03-06,4
2022-03-13,5
2022-03-20,4
2022-03-27,5
2022-04-03,4
2022-04-10,4
2022-04-17,4
2022-04-24,5
2022-05-01,4
2022-05-08,5
2022-05-15,5
2022-05-22,9
2022-05-29,5
2022-06-05,5
2022-06-12,6
2022-06-19,5
2022-06-26,4
2022-07-03,4
2022-07-10,4
2022-07-17,5
2022-07-24,5
2022-07-31,5
2022-08-07,5
2022-08-14,5
2022-08-21,5
2022-08-28,7
2022-09-04,4
2022-09-11,5
2022-09-18,5
2022-09-25,5
2022-10-02,5
2022-10-09,5
2022-10-16,4
2022-10-23,4
2022-10-30,4
2022-11-06,5
2022-11-13,5
2022-11-20,4
2022-11-27,4
2022-12-04,7
2022-12-11,6
2022-12-18,4
2022-12-25,4
2023-01-01,5
2023-01-08,7
2023-01-15,4
2023-01-22,6
2023-01-29,5
2023-02-05,5
2023-02-12,5
2023-02-19,4
2023-02-26,7
2023-03-05,6
2023-03-12,6
2023-03-19,6
2023-03-26,5
2023-04-02,4
2023-04-09,4
2023-04-16,5
2023-04-23,4
2023-04-30,5
2023-05-07,4
2023-05-14,6
2023-05-21,14
2023-05-28,19
2023-06-04,10
2023-06-11,13
2023-06-18,9
2023-06-25,8
2023-07-02,7
2023-07-09,10
2023-07-16,10
2023-07-23,8
2023-07-30,8
2023-08-06,7
2023-08-13,7
2023-08-20,9
2023-08-27,16
2023-09-03,8
2023-09-10,7
2023-09-17,9
2023-09-24,8
2023-10-01,6
2023-10-08,9
2023-10-15,8
2023-10-22,8
2023-10-29,8
2023-11-05,10
2023-11-12,11
2023-11-19,12
2023-11-26,11
2023-12-03,16
2023-12-10,31
2023-12-17,17
2023-12-24,9
2023-12-31,9
2024-01-07,11
2024-01-14,11
2024-01-21,15
2024-01-28,13
2024-02-04,15
2024-02-11,13
2024-02-18,14
2024-02-25,17
2024-03-03,39
2024-03-10,19
2024-03-17,20
2024-03-24,14
2024-03-31,14
2024-04-07,13
2024-04-14,12
2024-04-21,14
2024-04-28,12
2024-05-05,12
2024-05-12,15
2024-05-19,15
2024-05-26,13
2024-06-02,16
2024-06-09,61
2024-06-16,61
2024-06-23,37
2024-06-30,37
2024-07-07,49
2024-07-14,55
2024-07-21,34
2024-07-28,34
2024-08-04,30
2024-08-11,30
2024-08-18,28
2024-08-25,28
2024-09-01,44
2024-09-08,32
2024-09-15,32
2024-09-22,28
2024-09-29,24
2024-10-06,28
2024-10-13,24
2024-10-20,23
2024-10-27,22
2024-11-03,23
2024-11-10,22
2024-11-17,22
2024-11-24,18
2024-12-01,25
2024-12-08,77
2024-12-15,85
2024-12-22,40
2024-12-29,32
2025-01-05,31
2025-01-12,30
2025-01-19,29
2025-01-26,70
2025-02-02,47
2025-02-09,30
2025-02-16,26
2025-02-23,30
2025-03-02,67
2025-03-09,39
2025-03-16,29
2025-03-23,28
2025-03-30,36
2025-04-06,44
2025-04-13,28
2025-04-20,29
2025-04-27,29
2025-05-04,27
2025-05-11,34
2025-05-18,26
2025-05-25,28
2025-06-01,68
2025-06-08,43
2025-06-15,28
2025-06-22,36
2025-06-29,31
2025-07-06,34
2025-07-13,34
2025-07-20,37
2025-07-27,42
2025-08-03,49
2025-08-10,58
2025-08-17,50
2025-08-24,49
2025-08-31,100
2025-09-07,94
2025-09-14,62
2025-09-21,52
2025-09-28,53
2025-10-05,50
2025-10-12,63
2025-10-19,44
2025-10-26,57
2025-11-02,45
2025-11-09,41
2025-11-16,41
2025-11-23,57
2025-11-30,48
2025-12-07,86
2025-12-14,70
2025-12-21,40
