Category: All categories

Week,Amazon stock: (Worldwide)
2020-12-20,34
2020-12-27,39
2021-01-03,45
2021-01-10,51
2021-01-17,42
2021-01-24,53
2021-01-31,81
2021-02-07,41
2021-02-14,35
2021-02-21,40
2021-02-28,43
2021-03-07,39
2021-03-14,36
2021-03-21,30
2021-03-28,28
2021-04-04,31
2021-04-11,33
2021-04-18,30
2021-04-25,49
2021-05-02,35
2021-05-09,33
2021-05-16,27
2021-05-23,30
2021-05-30,25
2021-06-06,27
2021-06-13,26
2021-06-20,31
2021-06-27,25
2021-07-04,33
2021-07-11,29
2021-07-18,31
2021-07-25,42
2021-08-01,30
2021-08-08,26
2021-08-15,28
2021-08-22,27
2021-08-29,26
2021-09-05,22
2021-09-12,22
2021-09-19,24
2021-09-26,24
2021-10-03,25
2021-10-10,23
2021-10-17,25
2021-10-24,35
2021-10-31,29
2021-11-07,29
2021-11-14,29
2021-11-21,24
2021-11-28,27
2021-12-05,27
2021-12-12,25
2021-12-19,23
2021-12-26,23
2022-01-02,27
2022-01-09,25
2022-01-16,27
2022-01-23,39
2022-01-30,59
2022-02-06,36
2022-02-13,28
2022-02-20,27
2022-02-27,24
2022-03-06,61
2022-03-13,43
2022-03-20,36
2022-03-27,37
2022-04-03,33
2022-04-10,30
2022-04-17,32
2022-04-24,69
2022-05-01,58
2022-05-08,59
2022-05-15,49
2022-05-22,46
2022-05-29,57
2022-06-05,100
2022-06-12,64
2022-06-19,43
2022-06-26,40
2022-07-03,35
2022-07-10,39
2022-07-17,42
2022-07-24,56
2022-07-31,50
2022-08-07,42
2022-08-14,40
2022-08-21,36
2022-08-28,33
2022-09-04,26
2022-09-11,34
2022-09-18,33
2022-09-25,30
2022-10-02,30
2022-10-09,30
2022-10-16,29
2022-10-23,59
2022-10-30,49
2022-11-06,51
2022-11-13,44
2022-11-20,29
2022-11-27,32
2022-12-04,29
2022-12-11,32
2022-12-18,31
2022-12-25,30
2023-01-01,35
2023-01-08,36
2023-01-15,32
2023-01-22,36
2023-01-29,52
2023-02-05,39
2023-02-12,32
2023-02-19,27
2023-02-26,27
2023-03-05,25
2023-03-12,29
2023-03-19,30
2023-03-26,26
2023-04-02,24
2023-04-09,27
2023-04-16,27
2023-04-23,43
2023-04-30,29
2023-05-07,29
2023-05-14,30
2023-05-21,29
2023-05-28,30
2023-06-04,33
2023-06-11,33
2023-06-18,27
2023-06-25,28
2023-07-02,26
2023-07-09,32
2023-07-16,31
2023-07-23,30
2023-07-30,43
2023-08-06,31
2023-08-13,27
2023-08-20,25
2023-08-27,25
2023-09-03,21
2023-09-10,26
2023-09-17,24
2023-09-24,26
2023-10-01,24
2023-10-08,23
2023-10-15,21
2023-10-22,33
2023-10-29,28
2023-11-05,28
2023-11-12,32
2023-11-19,25
2023-11-26,29
2023-12-03,26
2023-12-10,27
2023-12-17,29
2023-12-24,22
2023-12-31,24
2024-01-07,27
2024-01-14,22
2024-01-21,28
2024-01-28,42
2024-02-04,34
2024-02-11,30
2024-02-18,28
2024-02-25,29
2024-03-03,28
2024-03-10,25
2024-03-17,25
2024-03-24,24
2024-03-31,26
2024-04-07,27
2024-04-14,26
2024-04-21,27
2024-04-28,41
2024-05-05,27
2024-05-12,27
2024-05-19,25
2024-05-26,21
2024-06-02,24
2024-06-09,24
2024-06-16,22
2024-06-23,28
2024-06-30,26
2024-07-07,28
2024-07-14,30
2024-07-21,27
2024-07-28,37
2024-08-04,44
2024-08-11,29
2024-08-18,26
2024-08-25,23
2024-09-01,21
2024-09-08,24
2024-09-15,26
2024-09-22,24
2024-09-29,21
2024-10-06,25
2024-10-13,23
2024-10-20,22
2024-10-27,36
2024-11-03,38
2024-11-10,34
2024-11-17,30
2024-11-24,25
2024-12-01,35
2024-12-08,34
2024-12-15,35
2024-12-22,23
2024-12-29,24
2025-01-05,24
2025-01-12,26
2025-01-19,29
2025-01-26,36
2025-02-02,43
2025-02-09,29
2025-02-16,26
2025-02-23,30
2025-03-02,35
2025-03-09,38
2025-03-16,31
2025-03-23,29
2025-03-30,52
2025-04-06,65
2025-04-13,33
2025-04-20,38
2025-04-27,43
2025-05-04,28
2025-05-11,40
2025-05-18,27
2025-05-25,24
2025-06-01,28
2025-06-08,28
2025-06-15,25
2025-06-22,29
2025-06-29,26
2025-07-06,30
2025-07-13,32
2025-07-20,37
2025-07-27,69
2025-08-03,92
2025-08-10,89
2025-08-17,78
2025-08-24,61
2025-08-31,60
2025-09-07,69
2025-09-14,55
2025-09-21,66
2025-09-28,54
2025-10-05,55
2025-10-12,54
2025-10-19,68
2025-10-26,84
2025-11-02,70
2025-11-09,61
2025-11-16,64
2025-11-23,70
2025-11-30,75
2025-12-07,37
2025-12-14,28
2025-12-21,24
