Category: All categories

Week,GOOGL: (Worldwide)
2020-12-20,52
2020-12-27,52
2021-01-03,56
2021-01-10,57
2021-01-17,61
2021-01-24,57
2021-01-31,66
2021-02-07,57
2021-02-14,56
2021-02-21,58
2021-02-28,57
2021-03-07,61
2021-03-14,55
2021-03-21,59
2021-03-28,53
2021-04-04,54
2021-04-11,54
2021-04-18,55
2021-04-25,62
2021-05-02,56
2021-05-09,56
2021-05-16,57
2021-05-23,54
2021-05-30,55
2021-06-06,53
2021-06-13,52
2021-06-20,54
2021-06-27,51
2021-07-04,54
2021-07-11,53
2021-07-18,54
2021-07-25,58
2021-08-01,54
2021-08-08,53
2021-08-15,51
2021-08-22,57
2021-08-29,55
2021-09-05,57
2021-09-12,57
2021-09-19,58
2021-09-26,56
2021-10-03,59
2021-10-10,59
2021-10-17,56
2021-10-24,64
2021-10-31,58
2021-11-07,60
2021-11-14,59
2021-11-21,58
2021-11-28,59
2021-12-05,59
2021-12-12,59
2021-12-19,53
2021-12-26,52
2022-01-02,56
2022-01-09,61
2022-01-16,56
2022-01-23,59
2022-01-30,80
2022-02-06,68
2022-02-13,63
2022-02-20,60
2022-02-27,61
2022-03-06,60
2022-03-13,61
2022-03-20,59
2022-03-27,63
2022-04-03,60
2022-04-10,61
2022-04-17,68
2022-04-24,73
2022-05-01,65
2022-05-08,66
2022-05-15,62
2022-05-22,68
2022-05-29,58
2022-06-05,57
2022-06-12,55
2022-06-19,54
2022-06-26,54
2022-07-03,51
2022-07-10,54
2022-07-17,62
2022-07-24,64
2022-07-31,55
2022-08-07,54
2022-08-14,54
2022-08-21,56
2022-08-28,53
2022-09-04,54
2022-09-11,59
2022-09-18,59
2022-09-25,58
2022-10-02,56
2022-10-09,51
2022-10-16,55
2022-10-23,65
2022-10-30,59
2022-11-06,56
2022-11-13,58
2022-11-20,49
2022-11-27,52
2022-12-04,53
2022-12-11,53
2022-12-18,47
2022-12-25,46
2023-01-01,48
2023-01-08,54
2023-01-15,53
2023-01-22,59
2023-01-29,66
2023-02-05,66
2023-02-12,60
2023-02-19,54
2023-02-26,56
2023-03-05,61
2023-03-12,52
2023-03-19,56
2023-03-26,54
2023-04-02,51
2023-04-09,49
2023-04-16,55
2023-04-23,62
2023-04-30,54
2023-05-07,59
2023-05-14,57
2023-05-21,54
2023-05-28,51
2023-06-04,53
2023-06-11,51
2023-06-18,49
2023-06-25,50
2023-07-02,47
2023-07-09,53
2023-07-16,54
2023-07-23,61
2023-07-30,52
2023-08-06,54
2023-08-13,50
2023-08-20,51
2023-08-27,53
2023-09-03,49
2023-09-10,56
2023-09-17,56
2023-09-24,57
2023-10-01,59
2023-10-08,55
2023-10-15,55
2023-10-22,62
2023-10-29,53
2023-11-05,56
2023-11-12,56
2023-11-19,53
2023-11-26,55
2023-12-03,58
2023-12-10,59
2023-12-17,52
2023-12-24,45
2023-12-31,48
2024-01-07,56
2024-01-14,56
2024-01-21,61
2024-01-28,75
2024-02-04,68
2024-02-11,69
2024-02-18,67
2024-02-25,68
2024-03-03,76
2024-03-10,67
2024-03-17,70
2024-03-24,61
2024-03-31,65
2024-04-07,66
2024-04-14,68
2024-04-21,79
2024-04-28,71
2024-05-05,72
2024-05-12,71
2024-05-19,68
2024-05-26,64
2024-06-02,67
2024-06-09,69
2024-06-16,61
2024-06-23,63
2024-06-30,56
2024-07-07,61
2024-07-14,62
2024-07-21,72
2024-07-28,65
2024-08-04,65
2024-08-11,61
2024-08-18,63
2024-08-25,63
2024-09-01,66
2024-09-08,73
2024-09-15,70
2024-09-22,68
2024-09-29,67
2024-10-06,68
2024-10-13,67
2024-10-20,69
2024-10-27,82
2024-11-03,71
2024-11-10,71
2024-11-17,75
2024-11-24,65
2024-12-01,71
2024-12-08,87
2024-12-15,71
2024-12-22,56
2024-12-29,56
2025-01-05,66
2025-01-12,71
2025-01-19,70
2025-01-26,77
2025-02-02,86
2025-02-09,77
2025-02-16,74
2025-02-23,75
2025-03-02,72
2025-03-09,74
2025-03-16,75
2025-03-23,72
2025-03-30,78
2025-04-06,77
2025-04-13,74
2025-04-20,80
2025-04-27,72
2025-05-04,79
2025-05-11,80
2025-05-18,76
2025-05-25,69
2025-06-01,69
2025-06-08,71
2025-06-15,69
2025-06-22,73
2025-06-29,66
2025-07-06,67
2025-07-13,73
2025-07-20,87
2025-07-27,73
2025-08-03,81
2025-08-10,83
2025-08-17,84
2025-08-24,82
2025-08-31,95
2025-09-07,88
2025-09-14,91
2025-09-21,84
2025-09-28,80
2025-10-05,82
2025-10-12,81
2025-10-19,83
2025-10-26,99
2025-11-02,85
2025-11-09,83
2025-11-16,100
2025-11-23,95
2025-11-30,93
2025-12-07,71
2025-12-14,70
2025-12-21,60
