Category: All categories

Week,Google stock: (Worldwide)
2020-12-20,19
2020-12-27,18
2021-01-03,24
2021-01-10,28
2021-01-17,23
2021-01-24,37
2021-01-31,40
2021-02-07,28
2021-02-14,24
2021-02-21,28
2021-02-28,24
2021-03-07,24
2021-03-14,21
2021-03-21,20
2021-03-28,18
2021-04-04,19
2021-04-11,21
2021-04-18,19
2021-04-25,24
2021-05-02,21
2021-05-09,20
2021-05-16,18
2021-05-23,18
2021-05-30,19
2021-06-06,18
2021-06-13,19
2021-06-20,17
2021-06-27,16
2021-07-04,16
2021-07-11,17
2021-07-18,18
2021-07-25,22
2021-08-01,17
2021-08-08,16
2021-08-15,16
2021-08-22,17
2021-08-29,17
2021-09-05,15
2021-09-12,16
2021-09-19,17
2021-09-26,19
2021-10-03,19
2021-10-10,17
2021-10-17,19
2021-10-24,24
2021-10-31,21
2021-11-07,21
2021-11-14,20
2021-11-21,16
2021-11-28,20
2021-12-05,20
2021-12-12,19
2021-12-19,16
2021-12-26,17
2022-01-02,23
2022-01-09,21
2022-01-16,21
2022-01-23,28
2022-01-30,72
2022-02-06,39
2022-02-13,31
2022-02-20,33
2022-02-27,30
2022-03-06,33
2022-03-13,30
2022-03-20,30
2022-03-27,31
2022-04-03,27
2022-04-10,27
2022-04-17,32
2022-04-24,46
2022-05-01,35
2022-05-08,39
2022-05-15,30
2022-05-22,31
2022-05-29,27
2022-06-05,31
2022-06-12,33
2022-06-19,27
2022-06-26,25
2022-07-03,24
2022-07-10,35
2022-07-17,44
2022-07-24,39
2022-07-31,30
2022-08-07,29
2022-08-14,29
2022-08-21,25
2022-08-28,25
2022-09-04,21
2022-09-11,27
2022-09-18,28
2022-09-25,26
2022-10-02,25
2022-10-09,25
2022-10-16,24
2022-10-23,40
2022-10-30,32
2022-11-06,30
2022-11-13,26
2022-11-20,19
2022-11-27,21
2022-12-04,20
2022-12-11,21
2022-12-18,20
2022-12-25,20
2023-01-01,21
2023-01-08,23
2023-01-15,23
2023-01-22,31
2023-01-29,36
2023-02-05,47
2023-02-12,32
2023-02-19,25
2023-02-26,24
2023-03-05,24
2023-03-12,28
2023-03-19,27
2023-03-26,24
2023-04-02,21
2023-04-09,22
2023-04-16,24
2023-04-23,30
2023-04-30,23
2023-05-07,29
2023-05-14,29
2023-05-21,27
2023-05-28,23
2023-06-04,26
2023-06-11,24
2023-06-18,20
2023-06-25,22
2023-07-02,20
2023-07-09,24
2023-07-16,23
2023-07-23,32
2023-07-30,23
2023-08-06,21
2023-08-13,19
2023-08-20,20
2023-08-27,21
2023-09-03,19
2023-09-10,19
2023-09-17,19
2023-09-24,20
2023-10-01,19
2023-10-08,18
2023-10-15,17
2023-10-22,31
2023-10-29,22
2023-11-05,20
2023-11-12,21
2023-11-19,18
2023-11-26,18
2023-12-03,25
2023-12-10,24
2023-12-17,22
2023-12-24,17
2023-12-31,18
2024-01-07,22
2024-01-14,20
2024-01-21,24
2024-01-28,36
2024-02-04,27
2024-02-11,25
2024-02-18,25
2024-02-25,32
2024-03-03,31
2024-03-10,24
2024-03-17,29
2024-03-24,22
2024-03-31,24
2024-04-07,24
2024-04-14,23
2024-04-21,37
2024-04-28,28
2024-05-05,23
2024-05-12,26
2024-05-19,23
2024-05-26,20
2024-06-02,23
2024-06-09,23
2024-06-16,21
2024-06-23,24
2024-06-30,19
2024-07-07,22
2024-07-14,25
2024-07-21,35
2024-07-28,26
2024-08-04,36
2024-08-11,27
2024-08-18,23
2024-08-25,20
2024-09-01,20
2024-09-08,25
2024-09-15,24
2024-09-22,21
2024-09-29,21
2024-10-06,24
2024-10-13,22
2024-10-20,21
2024-10-27,37
2024-11-03,30
2024-11-10,28
2024-11-17,31
2024-11-24,22
2024-12-01,26
2024-12-08,41
2024-12-15,33
2024-12-22,22
2024-12-29,22
2025-01-05,24
2025-01-12,24
2025-01-19,27
2025-01-26,42
2025-02-02,51
2025-02-09,31
2025-02-16,25
2025-02-23,30
2025-03-02,32
2025-03-09,32
2025-03-16,29
2025-03-23,25
2025-03-30,38
2025-04-06,45
2025-04-13,26
2025-04-20,35
2025-04-27,27
2025-05-04,37
2025-05-11,31
2025-05-18,32
2025-05-25,24
2025-06-01,29
2025-06-08,30
2025-06-15,24
2025-06-22,30
2025-06-29,26
2025-07-06,26
2025-07-13,31
2025-07-20,46
2025-07-27,48
2025-08-03,72
2025-08-10,99
2025-08-17,84
2025-08-24,73
2025-08-31,83
2025-09-07,78
2025-09-14,70
2025-09-21,76
2025-09-28,65
2025-10-05,63
2025-10-12,63
2025-10-19,65
2025-10-26,75
2025-11-02,64
2025-11-09,71
2025-11-16,87
2025-11-23,100
2025-11-30,93
2025-12-07,47
2025-12-14,34
2025-12-21,29
