Category: All categories

Week,HD: (Worldwide)
2020-12-20,100
2020-12-27,99
2021-01-03,95
2021-01-10,89
2021-01-17,89
2021-01-24,87
2021-01-31,86
2021-02-07,86
2021-02-14,85
2021-02-21,87
2021-02-28,86
2021-03-07,86
2021-03-14,84
2021-03-21,80
2021-03-28,89
2021-04-04,87
2021-04-11,77
2021-04-18,83
2021-04-25,80
2021-05-02,82
2021-05-09,90
2021-05-16,89
2021-05-23,86
2021-05-30,85
2021-06-06,90
2021-06-13,88
2021-06-20,87
2021-06-27,85
2021-07-04,84
2021-07-11,85
2021-07-18,90
2021-07-25,87
2021-08-01,81
2021-08-08,83
2021-08-15,86
2021-08-22,85
2021-08-29,85
2021-09-05,82
2021-09-12,84
2021-09-19,88
2021-09-26,83
2021-10-03,79
2021-10-10,78
2021-10-17,82
2021-10-24,84
2021-10-31,84
2021-11-07,82
2021-11-14,84
2021-11-21,79
2021-11-28,83
2021-12-05,80
2021-12-12,84
2021-12-19,90
2021-12-26,90
2022-01-02,91
2022-01-09,86
2022-01-16,81
2022-01-23,81
2022-01-30,84
2022-02-06,80
2022-02-13,81
2022-02-20,78
2022-02-27,79
2022-03-06,76
2022-03-13,78
2022-03-20,80
2022-03-27,80
2022-04-03,74
2022-04-10,83
2022-04-17,82
2022-04-24,78
2022-05-01,84
2022-05-08,82
2022-05-15,80
2022-05-22,81
2022-05-29,79
2022-06-05,83
2022-06-12,85
2022-06-19,86
2022-06-26,82
2022-07-03,83
2022-07-10,84
2022-07-17,84
2022-07-24,83
2022-07-31,82
2022-08-07,85
2022-08-14,86
2022-08-21,79
2022-08-28,82
2022-09-04,78
2022-09-11,76
2022-09-18,79
2022-09-25,76
2022-10-02,77
2022-10-09,76
2022-10-16,77
2022-10-23,83
2022-10-30,73
2022-11-06,75
2022-11-13,75
2022-11-20,75
2022-11-27,74
2022-12-04,79
2022-12-11,78
2022-12-18,80
2022-12-25,85
2023-01-01,79
2023-01-08,77
2023-01-15,74
2023-01-22,78
2023-01-29,79
2023-02-05,73
2023-02-12,72
2023-02-19,74
2023-02-26,71
2023-03-05,73
2023-03-12,73
2023-03-19,73
2023-03-26,68
2023-04-02,71
2023-04-09,72
2023-04-16,70
2023-04-23,73
2023-04-30,72
2023-05-07,70
2023-05-14,74
2023-05-21,73
2023-05-28,72
2023-06-04,71
2023-06-11,72
2023-06-18,75
2023-06-25,74
2023-07-02,74
2023-07-09,76
2023-07-16,69
2023-07-23,72
2023-07-30,71
2023-08-06,71
2023-08-13,71
2023-08-20,72
2023-08-27,72
2023-09-03,70
2023-09-10,67
2023-09-17,70
2023-09-24,70
2023-10-01,64
2023-10-08,69
2023-10-15,63
2023-10-22,67
2023-10-29,70
2023-11-05,73
2023-11-12,72
2023-11-19,69
2023-11-26,71
2023-12-03,68
2023-12-10,66
2023-12-17,71
2023-12-24,76
2023-12-31,70
2024-01-07,67
2024-01-14,70
2024-01-21,73
2024-01-28,73
2024-02-04,72
2024-02-11,71
2024-02-18,69
2024-02-25,69
2024-03-03,71
2024-03-10,65
2024-03-17,67
2024-03-24,69
2024-03-31,65
2024-04-07,70
2024-04-14,68
2024-04-21,68
2024-04-28,70
2024-05-05,71
2024-05-12,70
2024-05-19,63
2024-05-26,72
2024-06-02,70
2024-06-09,71
2024-06-16,72
2024-06-23,70
2024-06-30,73
2024-07-07,69
2024-07-14,72
2024-07-21,67
2024-07-28,74
2024-08-04,70
2024-08-11,73
2024-08-18,72
2024-08-25,70
2024-09-01,70
2024-09-08,72
2024-09-15,69
2024-09-22,70
2024-09-29,67
2024-10-06,70
2024-10-13,70
2024-10-20,70
2024-10-27,71
2024-11-03,71
2024-11-10,73
2024-11-17,70
2024-11-24,73
2024-12-01,72
2024-12-08,67
2024-12-15,71
2024-12-22,79
2024-12-29,74
2025-01-05,70
2025-01-12,72
2025-01-19,68
2025-01-26,71
2025-02-02,66
2025-02-09,67
2025-02-16,67
2025-02-23,70
2025-03-02,58
2025-03-09,60
2025-03-16,62
2025-03-23,61
2025-03-30,68
2025-04-06,63
2025-04-13,63
2025-04-20,65
2025-04-27,65
2025-05-04,64
2025-05-11,66
2025-05-18,64
2025-05-25,61
2025-06-01,63
2025-06-08,63
2025-06-15,64
2025-06-22,65
2025-06-29,65
2025-07-06,65
2025-07-13,65
2025-07-20,61
2025-07-27,65
2025-08-03,64
2025-08-10,65
2025-08-17,64
2025-08-24,64
2025-08-31,67
2025-09-07,66
2025-09-14,66
2025-09-21,62
2025-09-28,65
2025-10-05,63
2025-10-12,61
2025-10-19,61
2025-10-26,60
2025-11-02,59
2025-11-09,61
2025-11-16,62
2025-11-23,63
2025-11-30,62
2025-12-07,61
2025-12-14,65
2025-12-21,68
