Category: All categories

Week,Home Depot stock: (Worldwide)
2020-12-20,39
2020-12-27,41
2021-01-03,46
2021-01-10,50
2021-01-17,46
2021-01-24,62
2021-01-31,60
2021-02-07,49
2021-02-14,48
2021-02-21,66
2021-02-28,53
2021-03-07,52
2021-03-14,52
2021-03-21,56
2021-03-28,58
2021-04-04,61
2021-04-11,61
2021-04-18,59
2021-04-25,51
2021-05-02,58
2021-05-09,66
2021-05-16,64
2021-05-23,53
2021-05-30,49
2021-06-06,47
2021-06-13,48
2021-06-20,50
2021-06-27,51
2021-07-04,41
2021-07-11,43
2021-07-18,45
2021-07-25,43
2021-08-01,39
2021-08-08,40
2021-08-15,56
2021-08-22,43
2021-08-29,43
2021-09-05,40
2021-09-12,38
2021-09-19,40
2021-09-26,36
2021-10-03,35
2021-10-10,40
2021-10-17,45
2021-10-24,45
2021-10-31,44
2021-11-07,43
2021-11-14,73
2021-11-21,50
2021-11-28,52
2021-12-05,52
2021-12-12,48
2021-12-19,44
2021-12-26,51
2022-01-02,49
2022-01-09,44
2022-01-16,42
2022-01-23,51
2022-01-30,46
2022-02-06,41
2022-02-13,41
2022-02-20,74
2022-02-27,46
2022-03-06,46
2022-03-13,42
2022-03-20,48
2022-03-27,49
2022-04-03,48
2022-04-10,44
2022-04-17,48
2022-04-24,47
2022-05-01,50
2022-05-08,55
2022-05-15,72
2022-05-22,48
2022-05-29,41
2022-06-05,42
2022-06-12,50
2022-06-19,42
2022-06-26,40
2022-07-03,36
2022-07-10,38
2022-07-17,41
2022-07-24,39
2022-07-31,40
2022-08-07,41
2022-08-14,51
2022-08-21,37
2022-08-28,33
2022-09-04,29
2022-09-11,35
2022-09-18,34
2022-09-25,37
2022-10-02,36
2022-10-09,32
2022-10-16,35
2022-10-23,38
2022-10-30,33
2022-11-06,37
2022-11-13,43
2022-11-20,31
2022-11-27,33
2022-12-04,29
2022-12-11,32
2022-12-18,29
2022-12-25,30
2023-01-01,29
2023-01-08,33
2023-01-15,30
2023-01-22,34
2023-01-29,36
2023-02-05,31
2023-02-12,30
2023-02-19,48
2023-02-26,31
2023-03-05,31
2023-03-12,33
2023-03-19,35
2023-03-26,32
2023-04-02,31
2023-04-09,34
2023-04-16,34
2023-04-23,34
2023-04-30,32
2023-05-07,31
2023-05-14,53
2023-05-21,35
2023-05-28,31
2023-06-04,33
2023-06-11,34
2023-06-18,28
2023-06-25,33
2023-07-02,27
2023-07-09,32
2023-07-16,32
2023-07-23,31
2023-07-30,30
2023-08-06,30
2023-08-13,35
2023-08-20,27
2023-08-27,27
2023-09-03,24
2023-09-10,23
2023-09-17,23
2023-09-24,24
2023-10-01,24
2023-10-08,23
2023-10-15,22
2023-10-22,23
2023-10-29,26
2023-11-05,26
2023-11-12,34
2023-11-19,27
2023-11-26,28
2023-12-03,28
2023-12-10,33
2023-12-17,31
2023-12-24,25
2023-12-31,27
2024-01-07,28
2024-01-14,27
2024-01-21,27
2024-01-28,27
2024-02-04,27
2024-02-11,25
2024-02-18,32
2024-02-25,28
2024-03-03,28
2024-03-10,26
2024-03-17,28
2024-03-24,32
2024-03-31,31
2024-04-07,30
2024-04-14,29
2024-04-21,28
2024-04-28,29
2024-05-05,26
2024-05-12,33
2024-05-19,31
2024-05-26,25
2024-06-02,28
2024-06-09,28
2024-06-16,28
2024-06-23,27
2024-06-30,25
2024-07-07,30
2024-07-14,30
2024-07-21,27
2024-07-28,26
2024-08-04,32
2024-08-11,39
2024-08-18,29
2024-08-25,28
2024-09-01,22
2024-09-08,26
2024-09-15,30
2024-09-22,29
2024-09-29,31
2024-10-06,37
2024-10-13,31
2024-10-20,29
2024-10-27,27
2024-11-03,39
2024-11-10,41
2024-11-17,32
2024-11-24,30
2024-12-01,31
2024-12-08,30
2024-12-15,30
2024-12-22,23
2024-12-29,28
2025-01-05,30
2025-01-12,35
2025-01-19,30
2025-01-26,34
2025-02-02,34
2025-02-09,29
2025-02-16,30
2025-02-23,40
2025-03-02,34
2025-03-09,40
2025-03-16,33
2025-03-23,31
2025-03-30,49
2025-04-06,53
2025-04-13,35
2025-04-20,39
2025-04-27,31
2025-05-04,31
2025-05-11,35
2025-05-18,38
2025-05-25,24
2025-06-01,32
2025-06-08,29
2025-06-15,30
2025-06-22,34
2025-06-29,32
2025-07-06,32
2025-07-13,34
2025-07-20,40
2025-07-27,48
2025-08-03,81
2025-08-10,93
2025-08-17,100
2025-08-24,75
2025-08-31,70
2025-09-07,67
2025-09-14,65
2025-09-21,65
2025-09-28,55
2025-10-05,59
2025-10-12,60
2025-10-19,61
2025-10-26,55
2025-11-02,61
2025-11-09,69
2025-11-16,83
2025-11-23,75
2025-11-30,78
2025-12-07,42
2025-12-14,29
2025-12-21,29
