Category: All categories

Week,Meta earnings date: (Worldwide)
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,1
2022-01-23,1
2022-01-30,5
2022-02-06,2
2022-02-13,1
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,6
2022-04-24,8
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,1
2022-06-12,0
2022-06-19,1
2022-06-26,2
2022-07-03,3
2022-07-10,3
2022-07-17,12
2022-07-24,15
2022-07-31,2
2022-08-07,1
2022-08-14,1
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,1
2022-09-18,1
2022-09-25,2
2022-10-02,2
2022-10-09,2
2022-10-16,8
2022-10-23,18
2022-10-30,2
2022-11-06,2
2022-11-13,1
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,1
2022-12-18,0
2022-12-25,1
2023-01-01,1
2023-01-08,3
2023-01-15,4
2023-01-22,8
2023-01-29,18
2023-02-05,1
2023-02-12,1
2023-02-19,1
2023-02-26,0
2023-03-05,1
2023-03-12,2
2023-03-19,1
2023-03-26,2
2023-04-02,2
2023-04-09,3
2023-04-16,7
2023-04-23,15
2023-04-30,2
2023-05-07,1
2023-05-14,1
2023-05-21,2
2023-05-28,1
2023-06-04,1
2023-06-11,2
2023-06-18,1
2023-06-25,2
2023-07-02,3
2023-07-09,6
2023-07-16,10
2023-07-23,16
2023-07-30,3
2023-08-06,1
2023-08-13,1
2023-08-20,1
2023-08-27,0
2023-09-03,0
2023-09-10,1
2023-09-17,1
2023-09-24,1
2023-10-01,2
2023-10-08,3
2023-10-15,6
2023-10-22,13
2023-10-29,2
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,1
2023-12-17,0
2023-12-24,0
2023-12-31,1
2024-01-07,3
2024-01-14,4
2024-01-21,10
2024-01-28,24
2024-02-04,4
2024-02-11,2
2024-02-18,2
2024-02-25,2
2024-03-03,1
2024-03-10,2
2024-03-17,2
2024-03-24,3
2024-03-31,4
2024-04-07,4
2024-04-14,8
2024-04-21,25
2024-04-28,4
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,1
2024-06-09,3
2024-06-16,2
2024-06-23,3
2024-06-30,5
2024-07-07,8
2024-07-14,9
2024-07-21,14
2024-07-28,20
2024-08-04,2
2024-08-11,2
2024-08-18,2
2024-08-25,2
2024-09-01,1
2024-09-08,1
2024-09-15,2
2024-09-22,2
2024-09-29,3
2024-10-06,3
2024-10-13,6
2024-10-20,11
2024-10-27,24
2024-11-03,2
2024-11-10,2
2024-11-17,2
2024-11-24,1
2024-12-01,1
2024-12-08,1
2024-12-15,1
2024-12-22,0
2024-12-29,2
2025-01-05,3
2025-01-12,5
2025-01-19,13
2025-01-26,26
2025-02-02,6
2025-02-09,3
2025-02-16,3
2025-02-23,2
2025-03-02,1
2025-03-09,1
2025-03-16,1
2025-03-23,1
2025-03-30,2
2025-04-06,3
2025-04-13,5
2025-04-20,12
2025-04-27,19
2025-05-04,2
2025-05-11,1
2025-05-18,1
2025-05-25,0
2025-06-01,1
2025-06-08,0
2025-06-15,1
2025-06-22,2
2025-06-29,3
2025-07-06,3
2025-07-13,8
2025-07-20,18
2025-07-27,47
2025-08-03,32
2025-08-10,37
2025-08-17,28
2025-08-24,27
2025-08-31,20
2025-09-07,21
2025-09-14,18
2025-09-21,22
2025-09-28,27
2025-10-05,27
2025-10-12,30
2025-10-19,47
2025-10-26,100
2025-11-02,31
2025-11-09,21
2025-11-16,21
2025-11-23,12
2025-11-30,14
2025-12-07,6
2025-12-14,3
2025-12-21,4
