Category: All categories

Week,Meta stock: (Worldwide)
2020-12-20,<1
2020-12-27,<1
2021-01-03,<1
2021-01-10,<1
2021-01-17,<1
2021-01-24,<1
2021-01-31,<1
2021-02-07,<1
2021-02-14,<1
2021-02-21,<1
2021-02-28,<1
2021-03-07,<1
2021-03-14,<1
2021-03-21,<1
2021-03-28,<1
2021-04-04,<1
2021-04-11,<1
2021-04-18,<1
2021-04-25,<1
2021-05-02,<1
2021-05-09,<1
2021-05-16,<1
2021-05-23,<1
2021-05-30,<1
2021-06-06,<1
2021-06-13,<1
2021-06-20,1
2021-06-27,1
2021-07-04,1
2021-07-11,1
2021-07-18,<1
2021-07-25,<1
2021-08-01,<1
2021-08-08,<1
2021-08-15,<1
2021-08-22,<1
2021-08-29,1
2021-09-05,<1
2021-09-12,<1
2021-09-19,<1
2021-09-26,<1
2021-10-03,<1
2021-10-10,<1
2021-10-17,<1
2021-10-24,9
2021-10-31,7
2021-11-07,6
2021-11-14,7
2021-11-21,4
2021-11-28,5
2021-12-05,4
2021-12-12,4
2021-12-19,3
2021-12-26,4
2022-01-02,5
2022-01-09,4
2022-01-16,4
2022-01-23,5
2022-01-30,72
2022-02-06,39
2022-02-13,21
2022-02-20,17
2022-02-27,11
2022-03-06,10
2022-03-13,10
2022-03-20,9
2022-03-27,8
2022-04-03,7
2022-04-10,6
2022-04-17,11
2022-04-24,26
2022-05-01,11
2022-05-08,12
2022-05-15,8
2022-05-22,9
2022-05-29,8
2022-06-05,9
2022-06-12,13
2022-06-19,15
2022-06-26,11
2022-07-03,10
2022-07-10,10
2022-07-17,14
2022-07-24,31
2022-07-31,13
2022-08-07,13
2022-08-14,10
2022-08-21,10
2022-08-28,10
2022-09-04,7
2022-09-11,14
2022-09-18,15
2022-09-25,16
2022-10-02,13
2022-10-09,17
2022-10-16,15
2022-10-23,100
2022-10-30,53
2022-11-06,61
2022-11-13,26
2022-11-20,14
2022-11-27,16
2022-12-04,16
2022-12-11,16
2022-12-18,13
2022-12-25,12
2023-01-01,14
2023-01-08,15
2023-01-15,12
2023-01-22,17
2023-01-29,66
2023-02-05,27
2023-02-12,18
2023-02-19,14
2023-02-26,14
2023-03-05,17
2023-03-12,23
2023-03-19,18
2023-03-26,15
2023-04-02,13
2023-04-09,15
2023-04-16,17
2023-04-23,45
2023-04-30,18
2023-05-07,14
2023-05-14,16
2023-05-21,21
2023-05-28,17
2023-06-04,20
2023-06-11,19
2023-06-18,14
2023-06-25,17
2023-07-02,29
2023-07-09,30
2023-07-16,23
2023-07-23,45
2023-07-30,21
2023-08-06,16
2023-08-13,16
2023-08-20,16
2023-08-27,14
2023-09-03,10
2023-09-10,12
2023-09-17,11
2023-09-24,14
2023-10-01,12
2023-10-08,13
2023-10-15,12
2023-10-22,32
2023-10-29,16
2023-11-05,14
2023-11-12,17
2023-11-19,11
2023-11-26,13
2023-12-03,15
2023-12-10,13
2023-12-17,15
2023-12-24,11
2023-12-31,11
2024-01-07,17
2024-01-14,15
2024-01-21,21
2024-01-28,77
2024-02-04,46
2024-02-11,28
2024-02-18,25
2024-02-25,24
2024-03-03,32
2024-03-10,25
2024-03-17,20
2024-03-24,17
2024-03-31,21
2024-04-07,19
2024-04-14,20
2024-04-21,73
2024-04-28,31
2024-05-05,22
2024-05-12,21
2024-05-19,19
2024-05-26,15
2024-06-02,18
2024-06-09,20
2024-06-16,16
2024-06-23,18
2024-06-30,17
2024-07-07,24
2024-07-14,26
2024-07-21,25
2024-07-28,48
2024-08-04,33
2024-08-11,25
2024-08-18,20
2024-08-25,18
2024-09-01,13
2024-09-08,15
2024-09-15,20
2024-09-22,25
2024-09-29,24
2024-10-06,21
2024-10-13,19
2024-10-20,18
2024-10-27,46
2024-11-03,30
2024-11-10,24
2024-11-17,21
2024-11-24,15
2024-12-01,26
2024-12-08,24
2024-12-15,23
2024-12-22,15
2024-12-29,15
2025-01-05,26
2025-01-12,51
2025-01-19,56
2025-01-26,75
2025-02-02,37
2025-02-09,34
2025-02-16,32
2025-02-23,33
2025-03-02,33
2025-03-09,34
2025-03-16,27
2025-03-23,24
2025-03-30,41
2025-04-06,54
2025-04-13,27
2025-04-20,32
2025-04-27,47
2025-05-04,25
2025-05-11,34
2025-05-18,22
2025-05-25,21
2025-06-01,26
2025-06-08,25
2025-06-15,21
2025-06-22,27
2025-06-29,25
2025-07-06,24
2025-07-13,26
2025-07-20,25
2025-07-27,81
2025-08-03,53
2025-08-10,57
2025-08-17,56
2025-08-24,39
2025-08-31,36
2025-09-07,39
2025-09-14,43
2025-09-21,42
2025-09-28,43
2025-10-05,41
2025-10-12,34
2025-10-19,34
2025-10-26,97
2025-11-02,85
2025-11-09,70
2025-11-16,71
2025-11-23,60
2025-11-30,62
2025-12-07,36
2025-12-14,28
2025-12-21,21
