Category: All categories

Week,NVDA: (Worldwide)
2020-12-20,3
2020-12-27,3
2021-01-03,4
2021-01-10,4
2021-01-17,3
2021-01-24,3
2021-01-31,3
2021-02-07,5
2021-02-14,4
2021-02-21,6
2021-02-28,5
2021-03-07,4
2021-03-14,3
2021-03-21,3
2021-03-28,3
2021-04-04,3
2021-04-11,5
2021-04-18,4
2021-04-25,3
2021-05-02,3
2021-05-09,3
2021-05-16,4
2021-05-23,7
2021-05-30,5
2021-06-06,5
2021-06-13,6
2021-06-20,6
2021-06-27,7
2021-07-04,6
2021-07-11,7
2021-07-18,11
2021-07-25,6
2021-08-01,5
2021-08-08,5
2021-08-15,8
2021-08-22,8
2021-08-29,6
2021-09-05,4
2021-09-12,4
2021-09-19,4
2021-09-26,4
2021-10-03,5
2021-10-10,4
2021-10-17,4
2021-10-24,7
2021-10-31,11
2021-11-07,11
2021-11-14,15
2021-11-21,9
2021-11-28,10
2021-12-05,10
2021-12-12,10
2021-12-19,8
2021-12-26,8
2022-01-02,9
2022-01-09,8
2022-01-16,7
2022-01-23,10
2022-01-30,9
2022-02-06,9
2022-02-13,16
2022-02-20,7
2022-02-27,7
2022-03-06,7
2022-03-13,8
2022-03-20,9
2022-03-27,7
2022-04-03,7
2022-04-10,7
2022-04-17,8
2022-04-24,8
2022-05-01,7
2022-05-08,8
2022-05-15,7
2022-05-22,12
2022-05-29,6
2022-06-05,5
2022-06-12,6
2022-06-19,5
2022-06-26,5
2022-07-03,4
2022-07-10,5
2022-07-17,8
2022-07-24,6
2022-07-31,6
2022-08-07,8
2022-08-14,5
2022-08-21,8
2022-08-28,9
2022-09-04,5
2022-09-11,6
2022-09-18,6
2022-09-25,5
2022-10-02,5
2022-10-09,5
2022-10-16,4
2022-10-23,5
2022-10-30,4
2022-11-06,5
2022-11-13,8
2022-11-20,3
2022-11-27,4
2022-12-04,4
2022-12-11,4
2022-12-18,3
2022-12-25,3
2023-01-01,3
2023-01-08,4
2023-01-15,4
2023-01-22,7
2023-01-29,7
2023-02-05,7
2023-02-12,6
2023-02-19,11
2023-02-26,7
2023-03-05,6
2023-03-12,7
2023-03-19,9
2023-03-26,7
2023-04-02,6
2023-04-09,6
2023-04-16,7
2023-04-23,6
2023-04-30,7
2023-05-07,6
2023-05-14,9
2023-05-21,29
2023-05-28,18
2023-06-04,12
2023-06-11,15
2023-06-18,10
2023-06-25,12
2023-07-02,8
2023-07-09,11
2023-07-16,12
2023-07-23,11
2023-07-30,10
2023-08-06,10
2023-08-13,13
2023-08-20,36
2023-08-27,16
2023-09-03,10
2023-09-10,10
2023-09-17,10
2023-09-24,9
2023-10-01,9
2023-10-08,8
2023-10-15,11
2023-10-22,10
2023-10-29,10
2023-11-05,10
2023-11-12,12
2023-11-19,20
2023-11-26,11
2023-12-03,10
2023-12-10,10
2023-12-17,11
2023-12-24,8
2023-12-31,8
2024-01-07,15
2024-01-14,14
2024-01-21,18
2024-01-28,18
2024-02-04,27
2024-02-11,26
2024-02-18,61
2024-02-25,27
2024-03-03,39
2024-03-10,35
2024-03-17,34
2024-03-24,24
2024-03-31,21
2024-04-07,21
2024-04-14,24
2024-04-21,26
2024-04-28,21
2024-05-05,19
2024-05-12,21
2024-05-19,55
2024-05-26,40
2024-06-02,51
2024-06-09,55
2024-06-16,54
2024-06-23,56
2024-06-30,32
2024-07-07,39
2024-07-14,39
2024-07-21,38
2024-07-28,49
2024-08-04,53
2024-08-11,41
2024-08-18,40
2024-08-25,75
2024-09-01,43
2024-09-08,39
2024-09-15,33
2024-09-22,31
2024-09-29,27
2024-10-06,33
2024-10-13,35
2024-10-20,34
2024-10-27,31
2024-11-03,37
2024-11-10,32
2024-11-17,59
2024-11-24,30
2024-12-01,29
2024-12-08,30
2024-12-15,34
2024-12-22,22
2024-12-29,22
2025-01-05,37
2025-01-12,28
2025-01-19,29
2025-01-26,100
2025-02-02,52
2025-02-09,38
2025-02-16,30
2025-02-23,66
2025-03-02,50
2025-03-09,44
2025-03-16,38
2025-03-23,31
2025-03-30,44
2025-04-06,56
2025-04-13,43
2025-04-20,38
2025-04-27,32
2025-05-04,30
2025-05-11,42
2025-05-18,31
2025-05-25,48
2025-06-01,31
2025-06-08,27
2025-06-15,22
2025-06-22,32
2025-06-29,24
2025-07-06,31
2025-07-13,38
2025-07-20,31
2025-07-27,38
2025-08-03,45
2025-08-10,54
2025-08-17,55
2025-08-24,84
2025-08-31,39
2025-09-07,40
2025-09-14,42
2025-09-21,38
2025-09-28,38
2025-10-05,39
2025-10-12,36
2025-10-19,29
2025-10-26,44
2025-11-02,45
2025-11-09,43
2025-11-16,76
2025-11-23,39
2025-11-30,34
2025-12-07,29
2025-12-14,24
2025-12-21,18
