file,status,ticker,term,n_weeks
AAPL.csv,ok,AAPL,AAPL,262
AMZN.csv,ok,AMZN,AMZN,262
AVGO.csv,ok,AVGO,AVGO,262
Amazon earnings date.csv,ok,AMZN,Amazon earnings date,262
Amazon earnings.csv,ok,AMZN,Amazon earnings,262
Amazon stock.csv,ok,AMZN,Amazon stock,262
Apple earnings date.csv,ok,AAPL,Apple earnings date,262
Apple earnings.csv,ok,AAPL,Apple earnings,262
Apple stock.csv,ok,AAPL,Apple stock,262
BAC.csv,ok,BAC,BAC,262
Bank of America earnings date.csv,ok,BAC,Bank of America earnings date,262
Bank of America earnings.csv,ok,BAC,Bank of America earnings,262
Bank of America stock.csv,ok,BAC,Bank of America stock,262
Broadcom earnings date.csv,ok,AVGO,Broadcom earnings date,262
Broadcom earnings.csv,ok,AVGO,Broadcom earnings,262
Broadcom stock.csv,ok,AVGO,Broadcom stock,262
COST.csv,ok,COST,COST,262
Costco earnings date.csv,ok,COST,Costco earnings date,262
Costco earnings.csv,ok,COST,Costco earnings,262
Costco stock.csv,ok,COST,Costco stock,262
GOOGL.csv,ok,GOOGL,GOOGL,262
Google earnings date.csv,ok,GOOGL,Google earnings date,262
Google earnings.csv,ok,GOOGL,Google earnings,262
Google stock.csv,ok,GOOGL,Google stock,262
HD.csv,ok,HD,HD,262
Home Depot earnings date.csv,ok,HD,Home Depot earnings date,262
Home Depot earnings.csv,ok,HD,Home Depot earnings,262
Home Depot stock.csv,ok,HD,Home Depot stock,262
JPM.csv,ok,JPM,JPM,262
JPMorgan earnings date.csv,ok,JPM,JPMorgan earnings date,262
JPMorgan earnings.csv,ok,JPM,JPMorgan earnings,262
JPMorgan stock.csv,ok,JPM,JPMorgan stock,262
MA.csv,ok,MA,MA,262
META.csv,ok,META,META,262
MSFT.csv,ok,MSFT,MSFT,262
Mastercard earnings date.csv,ok,MA,Mastercard earnings date,262
Mastercard earnings.csv,ok,MA,Mastercard earnings,262
Mastercard stock.csv,ok,MA,Mastercard stock,262
Meta earnings date.csv,ok,META,Meta earnings date,262
Meta earnings.csv,ok,META,Meta earnings,262
Meta stock.csv,ok,META,Meta stock,262
Microsoft earnings date.csv,ok,MSFT,Microsoft earnings date,262
Microsoft earnings.csv,ok,MSFT,Microsoft earnings,262
Microsoft stock.csv,ok,MSFT,Microsoft stock,262
NVDA.csv,ok,NVDA,NVDA,262
Nvidia earnings date.csv,ok,NVDA,Nvidia earnings date,262
Nvidia earnings.csv,ok,NVDA,Nvidia earnings,262
Nvidia stock.csv,ok,NVDA,Nvidia stock,262
