event_day,strategy_event_return
2021-01-15,0.0
2021-01-19,0.0
2021-01-26,0.0
2021-01-27,0.0170132138591198
2021-01-28,0.0
2021-02-02,0.0010377579373438
2021-02-23,0.0
2021-02-24,0.0
2021-03-04,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-05-18,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-06-03,0.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-08-17,0.0
2021-08-18,0.0
2021-09-02,0.0
2021-09-23,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-28,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-12-09,0.0
2022-01-14,0.0
2022-01-19,0.0
2022-01-25,0.0
2022-01-27,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-16,0.0
2022-02-22,0.0
2022-03-03,0.0
2022-04-13,0.0
2022-04-18,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-05-17,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-07-14,0.0
2022-07-18,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-08-16,0.0
2022-08-24,0.0
2022-09-01,0.0
2022-10-05,0.0
2022-10-14,0.0
2022-10-17,0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,0.0
2022-11-15,0.0
2022-11-16,0.0
2022-12-08,0.0
2023-01-13,0.0
2023-01-24,0.0
2023-01-26,0.0
2023-02-01,0.0
2023-02-02,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-03-02,0.0
2023-04-14,0.0
2023-04-18,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-05-04,0.0
2023-05-16,0.0
2023-05-24,0.0
2023-06-01,0.0
2023-07-14,0.0
2023-07-18,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-08-03,0.0
2023-08-15,0.0
2023-08-23,0.0
2023-08-31,0.0
2023-09-26,0.0
2023-10-13,0.0
2023-10-17,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-11-02,0.0
2023-11-14,0.0
2023-11-21,0.0
2023-12-07,0.0
2023-12-14,0.0
2024-01-12,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-03-07,0.0
2024-04-12,0.0
2024-04-16,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-14,0.0
2024-05-22,0.0
2024-06-06,0.0
2024-06-12,0.0
2024-07-12,0.0
2024-07-16,0.0
2024-07-23,0.0
2024-07-30,0.0
2024-07-31,0.0
2024-08-01,0.0
2024-08-13,0.0
2024-08-28,0.0
2024-09-05,0.0
2024-09-26,0.0
2024-10-11,0.0
2024-10-15,0.0
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,0.0
2024-11-12,0.0
2024-11-20,0.0
2024-12-12,0.0
2025-01-15,0.0
2025-01-16,0.0
2025-01-29,0.0
2025-01-30,0.0
2025-02-04,0.0
2025-02-06,0.0
2025-02-25,0.0
2025-02-26,0.0
2025-03-06,0.0
2025-04-11,0.0
2025-04-15,0.0
2025-04-24,0.0
2025-04-30,0.0
2025-05-01,0.019572869516578967
2025-05-20,0.0
2025-05-28,0.0
2025-05-29,0.0
2025-06-05,0.0
2025-07-15,0.0
2025-07-16,0.0
2025-07-23,0.0
2025-07-30,0.0
2025-07-31,0.0
2025-08-19,0.0
2025-08-27,0.0
2025-09-04,0.0
2025-09-25,0.0
2025-10-14,0.0
2025-10-15,0.0
2025-10-29,0.0
2025-10-30,0.0
2025-11-18,0.0
2025-11-19,0.0
